target_set,horizon,task,model,MAE,Spearman_r,DirAcc,Accuracy
raw,7d,regression,1_historical_mean,0.03915080618035864,,0.5055896629289496,
raw,7d,regression,2_naive_momentum,0.0762680992900554,-0.03245317745171262,0.488186446124444,
raw,7d,regression,3_ridge_regression,0.03937292010161419,-0.010713456551435952,0.49709946386591575,
raw,7d,regression,4_random_forest,0.039839149974369485,0.0013992944787409964,0.49752228254435366,
raw,7d,regression,5_gradient_boosting,0.04146109697552482,-0.039582786947787385,0.48671503712347997,
raw,7d,classification,1_majority_class,,,,0.49853704737260474
raw,7d,classification,3_logistic_regression,,,,0.5022578517428586
raw,7d,classification,4_random_forest,,,,0.5038307372266477
raw,7d,classification,5_gradient_boosting,,,,0.5145365061646964
raw,30d,regression,1_historical_mean,0.08202667121324923,,0.5186632164662506,
raw,30d,regression,2_naive_momentum,0.10367927084004687,-0.025463700509598525,0.4938860419097874,
raw,30d,regression,3_ridge_regression,0.08049941348825763,0.07507752251142533,0.5160924789013479,
raw,30d,regression,4_random_forest,0.07998747138849897,0.24328849747322082,0.5772658852977489,
raw,30d,regression,5_gradient_boosting,0.08462035663348995,0.20538463508833807,0.5582897830094542,
raw,30d,classification,1_majority_class,,,,0.49578026958918936
raw,30d,classification,3_logistic_regression,,,,0.5111877822314679
raw,30d,classification,4_random_forest,,,,0.5112554332200179
raw,30d,classification,5_gradient_boosting,,,,0.5158387876942852
raw,60d,regression,1_historical_mean,0.11802882981582258,,0.547042806163005,
raw,60d,regression,2_naive_momentum,0.13600078079962172,-0.09379455509759764,0.47524819456424305,
raw,60d,regression,3_ridge_regression,0.11516429289241169,0.07450562683918245,0.5510849527288717,
raw,60d,regression,4_random_forest,0.11541574195483732,0.0026960560123361946,0.5331067025216906,
raw,60d,regression,5_gradient_boosting,0.12271228813085636,0.15611802150063392,0.5579177025724288,
raw,60d,classification,1_majority_class,,,,0.49324335751856174
raw,60d,classification,3_logistic_regression,,,,0.5070779846770511
raw,60d,classification,4_random_forest,,,,0.5018857713058332
raw,60d,classification,5_gradient_boosting,,,,0.5067735552285758
raw,90d,regression,1_historical_mean,0.14050979793703824,0.0,0.5766401136536607,
raw,90d,regression,2_naive_momentum,0.15664193207951083,-0.12171502730255034,0.46733302890388484,
raw,90d,regression,3_ridge_regression,0.13685282904824603,0.12569690387612414,0.5963942023102813,
raw,90d,regression,4_random_forest,0.1453339950174416,0.10382179055506965,0.5978994368055203,
raw,90d,regression,5_gradient_boosting,0.1568005612395241,0.12870468471690405,0.5760989057452602,
raw,90d,classification,1_majority_class,,,,0.49273597510443623
raw,90d,classification,3_logistic_regression,,,,0.5149424120959968
raw,90d,classification,4_random_forest,,,,0.49354778696703705
raw,90d,classification,5_gradient_boosting,,,,0.5066382532514756
vol_adj,7d,regression,1_historical_mean,0.8600836680181889,,0.5055896629289496,
vol_adj,7d,regression,3_ridge_regression,0.8670772189210941,-0.041359262412713704,0.49506993420941364,
vol_adj,7d,regression,4_random_forest,0.8801518221009222,-0.001388309618970309,0.49456255179528813,
vol_adj,7d,regression,5_gradient_boosting,0.9082118610586188,-0.001649187663567983,0.49789436298137907,
vol_adj,7d,classification,1_majority_class,,,,0.5025563679124699
vol_adj,7d,classification,3_logistic_regression,,,,0.5033999693235851
vol_adj,7d,classification,4_random_forest,,,,0.506211974027302
vol_adj,7d,classification,5_gradient_boosting,,,,0.5231351296078531
vol_adj,30d,regression,1_historical_mean,0.874498189459028,,0.5186632164662506,
vol_adj,30d,regression,3_ridge_regression,0.872838927086937,0.032726368553003427,0.5175131496608995,
vol_adj,30d,regression,4_random_forest,0.8794757157559883,0.17484405230312727,0.5728685710419944,
vol_adj,30d,regression,5_gradient_boosting,0.9312286757254643,0.15966740833176984,0.5549241463290883,
vol_adj,30d,classification,1_majority_class,,,,0.49982138300586887
vol_adj,30d,classification,3_logistic_regression,,,,0.508369482010717
vol_adj,30d,classification,4_random_forest,,,,0.5089818831334524
vol_adj,30d,classification,5_gradient_boosting,,,,0.5142383261035979
vol_adj,60d,regression,1_historical_mean,0.8890597706498536,,0.547042806163005,
vol_adj,60d,regression,3_ridge_regression,0.8940186473097408,-0.017560537967197882,0.5324132798890524,
vol_adj,60d,regression,4_random_forest,0.8860337390590095,0.09623995854458492,0.5428146193786256,
vol_adj,60d,regression,5_gradient_boosting,0.9754784186787907,0.08087211231683439,0.5496642819693203,
vol_adj,60d,classification,1_majority_class,,,,0.49750636132315523
vol_adj,60d,classification,3_logistic_regression,,,,0.510178117048346
vol_adj,60d,classification,4_random_forest,,,,0.5033078880407125
vol_adj,60d,classification,5_gradient_boosting,,,,0.5094656488549618
vol_adj,90d,regression,1_historical_mean,0.8699037906618295,,0.5766401136536607,
vol_adj,90d,regression,3_ridge_regression,0.8784611870428124,0.04769878067627453,0.5607421313443943,
vol_adj,90d,regression,4_random_forest,0.9044867662432322,0.07853304319742035,0.5953286992406176,
vol_adj,90d,regression,5_gradient_boosting,1.023096359018144,0.08015150460272646,0.5716339405009556,
vol_adj,90d,classification,1_majority_class,,,,0.4962855543682898
vol_adj,90d,classification,3_logistic_regression,,,,0.5152648450618226
vol_adj,90d,classification,4_random_forest,,,,0.5067674146440747
vol_adj,90d,classification,5_gradient_boosting,,,,0.5090062585864753
rank,7d,regression,1_historical_mean,0.24730585134080618,,0.5010232212018199,
rank,7d,regression,3_ridge_regression,0.24742428077554454,0.01419720823383381,0.5005327515348318,
rank,7d,regression,4_random_forest,0.24715776083837004,0.03602275011605667,0.5089383868621781,
rank,7d,regression,5_gradient_boosting,0.2472173028527556,0.048987898381686684,0.5155343582458098,
rank,7d,classification,1_majority_class,,,,0.5092428163106534
rank,7d,classification,3_logistic_regression,,,,0.5117966411284185
rank,7d,classification,4_random_forest,,,,0.5118981176112436
rank,7d,classification,5_gradient_boosting,,,,0.5107480508058924
rank,30d,regression,1_historical_mean,0.24712064208950493,0.0,0.49874000033825494,
rank,30d,regression,3_ridge_regression,0.24728775281173349,0.029356286523162984,0.5065367767686505,
rank,30d,regression,4_random_forest,0.24698074031360814,0.03922077373013163,0.5220795913880292,
rank,30d,regression,5_gradient_boosting,0.24915318312188559,0.03552358994300178,0.5152299287973345,
rank,30d,classification,1_majority_class,,,,0.5116613391513184
rank,30d,classification,3_logistic_regression,,,,0.5138769090263331
rank,30d,classification,4_random_forest,,,,0.5110355675072302
rank,30d,classification,5_gradient_boosting,,,,0.4967612089231654
rank,60d,regression,1_historical_mean,0.24752704165439687,,0.49699798738309064,
rank,60d,regression,3_ridge_regression,0.24737798797719762,0.06228531185254411,0.5058940923774249,
rank,60d,regression,4_random_forest,0.24940352892048198,-0.007451738044512892,0.5099024134490165,
rank,60d,regression,5_gradient_boosting,0.25256827916639224,0.010399758515816286,0.5032726165711097,
rank,60d,classification,1_majority_class,,,,0.513775432543508
rank,60d,classification,3_logistic_regression,,,,0.5169719417524988
rank,60d,classification,4_random_forest,,,,0.4986046983611548
rank,60d,classification,5_gradient_boosting,,,,0.5054374482047119
rank,90d,regression,1_historical_mean,0.24757281173907683,,0.4971332893601908,
rank,90d,regression,3_ridge_regression,0.24721828365125353,0.07343833918920628,0.5154328817629847,
rank,90d,regression,4_random_forest,0.2526953872292719,-0.06444877693390234,0.49596630980770207,
rank,90d,regression,5_gradient_boosting,0.25185197655784936,0.04945750177685799,0.5138769090263331,
rank,90d,classification,1_majority_class,,,,0.5143842914404587
rank,90d,classification,3_logistic_regression,,,,0.5155343582458098
rank,90d,classification,4_random_forest,,,,0.4819963806721126
