,mean_ic,std_ic,min_ic,max_ic,sign_flips,stability_score
relative_strength,-0.01433813653355149,0.014231976895998704,-0.04234851105547556,0.003565501704811568,3,1.0074592334099863
price_to_ema50,-0.08994857344313854,0.09331117935658274,-0.24314793253219605,0.06265279905324969,5,0.9639635257358155
roc_40,-0.08811407840462834,0.09812463288015295,-0.21378483679749657,0.06409563777603558,5,0.8979812287527102
macd_norm,-0.08974304116542989,0.10062897446596415,-0.24308600959244037,0.06397373816317782,5,0.8918210847491422
price_to_sma50,-0.09073886082280687,0.10265073559506474,-0.24483072219436058,0.06299031635152141,5,0.8839572390474855
price_to_ema200,-0.07014996639920419,0.08515164888136748,-0.20469274423949357,0.09080765680670175,4,0.8238239343660451
dist_to_high50,-0.067731441666365,0.08884893989659538,-0.24977087684035262,0.05020895326092423,4,0.7623213258953065
volatility_20,0.06630329034385042,0.09189415964474112,-0.021621343927278228,0.2615316308623166,4,0.7215180007105576
obv_zscore_20,-0.046558529346530306,0.06481353603477741,-0.17281366040636115,0.07707841267284798,3,0.7183457684139946
price_to_ema20,-0.06777816008184373,0.09803956394101623,-0.2622682078549144,0.08012071020824868,5,0.6913347770765409
nifty_volatility_20,0.07641350978304647,0.11402308222131037,-0.03012050716081359,0.2804575286373266,5,0.6701582547534849
volatility_10,0.05933681883674824,0.08906077462446614,-0.026073601769221934,0.22523838066250002,2,0.66625087292299
roc_20,-0.06928592766324278,0.10522505418245262,-0.27262598087533607,0.09981741445535984,5,0.6584546636878513
bb_pct_b,-0.056789541685379176,0.08681928340223857,-0.23621482485386294,0.0904421240919996,5,0.6541120757962269
nifty_trend,-0.10340639699265855,0.1680656785231962,-0.4462699279505868,0.14624668293193485,5,0.6152737304921334
fund_eps_growth,-0.03348945305395726,0.05464532543544513,-0.13143526655051926,0.03563034016308142,7,0.6128511960921486
fund_net_profit_growth,-0.03425817675937415,0.05592284973139404,-0.1344064972389628,0.030539801877455523,7,0.612597121282649
rsi_14,-0.05563675586786497,0.09108568583421174,-0.24383631906668837,0.08252408004955106,5,0.6108177740367612
vix_change_5d,0.0458465020479754,0.07580401026136745,-0.10847559139145077,0.13888356371267144,5,0.6048031217596477
roc_5,-0.03639639268907533,0.06157346761981052,-0.17671971380223883,0.05771660451519662,5,0.5911051317396526
fund_roe,-0.029390860887128816,0.05036601615191344,-0.12454659427855956,0.05820171061026594,5,0.5835454763481871
price_to_sma20,-0.05805423153437739,0.10125405213873379,-0.26847333148670477,0.10523764971740973,5,0.5733521800671648
price_to_sma10,-0.04147007374174892,0.07406173849813749,-0.20575970155513706,0.07196745823543763,5,0.5599392423497028
bb_width,0.04572252699710022,0.08650025178339454,-0.06049094964065886,0.21381097218367204,7,0.5285825885408298
roc_10,-0.04726385198195014,0.09054140471491703,-0.24240698726019985,0.09130950041671418,5,0.5220136812629244
log_return,-0.015878078651308563,0.030499454890319144,-0.08082352212981629,0.034598211594425665,5,0.5206020470991577
vix_zscore_60,0.04949499436958547,0.11873848677149883,-0.1051299947872727,0.23664470690179437,7,0.4168403667197981
volume_ratio,0.017793797242001263,0.046534515610976615,-0.039539908994165825,0.12522864307208292,7,0.38237847774661354
dist_to_high20,-0.036320151016088695,0.09648768107862427,-0.25784368103976096,0.07169637300691241,2,0.3764226749992337
fund_pe_ratio,-0.027715403350944613,0.08552323380290335,-0.1515540308082376,0.10700524081811243,2,0.3240687017847977
macd_hist_norm,-0.01692016324254421,0.09446112156992276,-0.22708089440826698,0.14183826089759063,5,0.1791230398425815
sector_return,-0.003957388853892927,0.036343643164034295,-0.08186679883798227,0.061451267682319385,5,0.10888806155265036
dist_to_low50,-0.0066265501804181354,0.11080244336669183,-0.13497361742766395,0.22376103692827493,4,0.059805090745951306
dist_to_low20,0.004702221292812564,0.0907477646361909,-0.1403111043602941,0.15984548427320106,4,0.05181638701144691
nifty_return,-0.0018465721885236742,0.04477073610567406,-0.04882397791317271,0.10780403932217858,3,0.04124507098040872
atr_pct,-0.0024333254902420077,0.07744852628468787,-0.13323596573580948,0.11206921716449347,4,0.03141861578227465
