Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,OFSS,1258.103759765625,2376.89990234375,2395.0,2285.050048828125,2325.0,195371
2010-01-05,OFSS,1244.765380859375,2351.699951171875,2405.0,2320.39990234375,2376.0,156345
2010-01-06,OFSS,1242.0660400390625,2346.60009765625,2390.0,2325.35009765625,2369.0,127541
2010-01-07,OFSS,1229.7861328125,2323.39990234375,2375.0,2301.0,2375.0,79152
2010-01-08,OFSS,1229.9976806640625,2323.800048828125,2371.89990234375,2310.199951171875,2347.0,83072
2010-01-11,OFSS,1215.150634765625,2295.75,2348.800048828125,2286.5,2345.0,70361
2010-01-12,OFSS,1239.18115234375,2341.14990234375,2385.0,2300.60009765625,2300.60009765625,260140
2010-01-13,OFSS,1269.060546875,2397.60009765625,2430.0,2320.10009765625,2320.10009765625,291688
2010-01-14,OFSS,1310.187255859375,2475.300048828125,2494.0,2385.0,2400.0,303320
2010-01-15,OFSS,1303.8885498046875,2463.39990234375,2499.0,2454.0,2488.0,86512
2010-01-18,OFSS,1306.16455078125,2467.699951171875,2525.0,2421.550048828125,2451.0,102266
2010-01-19,OFSS,1287.083251953125,2431.64990234375,2501.0,2415.0,2460.0,110752
2010-01-20,OFSS,1280.33447265625,2418.89990234375,2470.0,2404.0,2447.0,131589
2010-01-21,OFSS,1220.893798828125,2306.60009765625,2440.0,2291.14990234375,2418.0,227291
2010-01-22,OFSS,1198.292236328125,2263.89990234375,2304.800048828125,2181.0,2290.0,199767
2010-01-25,OFSS,1191.1204833984375,2250.35009765625,2262.949951171875,2213.300048828125,2245.0,177011
2010-01-27,OFSS,1142.3450927734375,2158.199951171875,2245.0,2131.0,2230.0,183000
2010-01-28,OFSS,1129.6153564453125,2134.14990234375,2550.0,2122.050048828125,2290.0,145196
2010-01-29,OFSS,1143.932861328125,2161.199951171875,2171.89990234375,2048.800048828125,2105.0,116696
2010-02-01,OFSS,1161.3997802734375,2194.199951171875,2219.0,2090.199951171875,2160.0,147215
2010-02-02,OFSS,1178.0994873046875,2225.75,2299.0,2210.0,2210.0,185788
2010-02-03,OFSS,1194.851806640625,2257.39990234375,2284.5,2240.0,2240.0,94095
2010-02-04,OFSS,1148.7496337890625,2170.300048828125,2283.89990234375,2138.550048828125,2264.0,171769
2010-02-05,OFSS,1149.4111328125,2171.550048828125,2210.0,2075.0,2075.0,142731
2010-02-08,OFSS,1156.47705078125,2184.89990234375,2221.89990234375,2127.0,2190.0,88125
2010-02-09,OFSS,1172.4093017578125,2215.0,2233.0,2155.199951171875,2186.0,101988
2010-02-10,OFSS,1165.5548095703125,2202.050048828125,2262.0,2192.199951171875,2240.0,103794
2010-02-11,OFSS,1185.7213134765625,2240.14990234375,2249.0,2220.0,2220.0,76281
2010-02-15,OFSS,1172.70068359375,2215.550048828125,2245.0,2210.10009765625,2245.0,64849
2010-02-16,OFSS,1186.250732421875,2241.14990234375,2255.0,2167.550048828125,2230.0,52046
2010-02-17,OFSS,1195.6458740234375,2258.89990234375,2286.5,2245.0,2260.0,112060
2010-02-18,OFSS,1187.1767578125,2242.89990234375,2277.949951171875,2229.0,2258.89990234375,64188
2010-02-19,OFSS,1166.136962890625,2203.14990234375,2249.89990234375,2185.0,2233.75,80496
2010-02-22,OFSS,1162.4583740234375,2196.199951171875,2244.800048828125,2185.10009765625,2222.0,37127
2010-02-23,OFSS,1167.910400390625,2206.5,2217.0,2170.10009765625,2200.0,62449
2010-02-24,OFSS,1163.6494140625,2198.449951171875,2239.89990234375,2185.35009765625,2200.0,52991
2010-02-25,OFSS,1163.99365234375,2199.10009765625,2214.800048828125,2175.199951171875,2203.449951171875,76283
2010-02-26,OFSS,1184.318603515625,2237.5,2248.39990234375,2194.0,2194.0,69962
2010-03-02,OFSS,1201.6534423828125,2270.25,2280.0,2205.050048828125,2216.0,88443
2010-03-03,OFSS,1213.562744140625,2292.75,2325.0,2253.0,2280.0,115772
2010-03-04,OFSS,1219.4114990234375,2303.800048828125,2328.5,2282.60009765625,2300.0,80170
2010-03-05,OFSS,1225.128173828125,2314.60009765625,2348.0,2300.0,2300.0,105232
2010-03-08,OFSS,1224.810546875,2314.0,2350.0,2301.5,2334.949951171875,81950
2010-03-09,OFSS,1214.7803955078125,2295.050048828125,2334.0,2286.300048828125,2305.050048828125,69911
