Symbol,FiscalYearEnd,known_date,source
ADANIPORTS,Mar 2015,2015-05-02,nse_actual
ADANIPORTS,Mar 2016,2016-05-03,nse_actual
ADANIPORTS,Mar 2017,2017-05-25,nse_actual
ADANIPORTS,Mar 2018,2018-05-03,nse_actual
ADANIPORTS,Mar 2019,2019-05-27,nse_actual
ADANIPORTS,Mar 2020,2020-05-05,nse_actual
ADANIPORTS,Mar 2021,2021-05-04,nse_actual
ADANIPORTS,Mar 2022,2022-05-25,nse_actual
ADANIPORTS,Mar 2023,2023-05-30,nse_actual
ADANIPORTS,Mar 2024,2024-05-02,nse_actual
ADANIPORTS,Mar 2025,2025-05-30,approximation_fallback
ADANIPORTS,Mar 2026,2026-04-30,nse_actual
ASIANPAINT,Mar 2015,2015-05-18,nse_actual
ASIANPAINT,Mar 2016,2016-05-11,nse_actual
ASIANPAINT,Mar 2017,2017-05-12,nse_actual
ASIANPAINT,Mar 2018,2018-05-10,nse_actual
ASIANPAINT,Mar 2019,2019-05-09,nse_actual
ASIANPAINT,Mar 2020,2020-06-23,nse_actual
ASIANPAINT,Mar 2021,2021-05-12,nse_actual
ASIANPAINT,Mar 2022,2022-05-10,nse_actual
ASIANPAINT,Mar 2023,2023-05-11,nse_actual
ASIANPAINT,Mar 2024,2024-05-09,nse_actual
ASIANPAINT,Mar 2025,2025-05-30,approximation_fallback
ASIANPAINT,Mar 2026,2026-05-29,nse_actual
AXISBANK,Mar 2015,2015-04-29,nse_actual
AXISBANK,Mar 2016,2016-04-26,nse_actual
AXISBANK,Mar 2017,2017-04-26,nse_actual
AXISBANK,Mar 2018,2018-04-26,nse_actual
AXISBANK,Mar 2019,2019-04-25,nse_actual
AXISBANK,Mar 2020,2020-04-28,nse_actual
AXISBANK,Mar 2021,2021-04-27,nse_actual
AXISBANK,Mar 2022,2022-04-28,nse_actual
AXISBANK,Mar 2023,2023-04-27,nse_actual
AXISBANK,Mar 2024,2024-04-24,nse_actual
AXISBANK,Mar 2025,2025-05-30,approximation_fallback
AXISBANK,Mar 2026,2026-04-25,nse_actual
BAJAJ-AUTO,Mar 2015,2015-05-21,nse_actual
BAJAJ-AUTO,Mar 2016,2016-05-25,nse_actual
BAJAJ-AUTO,Mar 2017,2017-05-18,nse_actual
BAJAJ-AUTO,Mar 2018,2018-05-18,nse_actual
