Symbol,FiscalYearEnd,sales,net_profit,eps,equity_capital,reserves,borrowings,roce_pct,roe_pct,debt_to_equity
ADANIPORTS,Mar 2015,6152.0,2324.0,11.18,414.0,10351.0,17776.0,14.0,21.59,1.651
ADANIPORTS,Mar 2016,7109.0,2856.0,13.99,414.0,13091.0,22342.0,13.0,21.15,1.654
ADANIPORTS,Mar 2017,8439.0,3902.0,18.89,414.0,17112.0,22214.0,14.0,22.26,1.267
ADANIPORTS,Mar 2018,11323.0,3690.0,17.74,414.0,20489.0,22370.0,17.0,17.65,1.07
ADANIPORTS,Mar 2019,10925.0,4045.0,19.27,414.0,23958.0,27712.0,14.0,16.6,1.137
ADANIPORTS,Mar 2020,11873.0,3785.0,18.52,406.0,25051.0,30242.0,12.0,14.87,1.188
ADANIPORTS,Mar 2021,12550.0,5049.0,24.58,406.0,30035.0,35855.0,14.0,16.59,1.178
ADANIPORTS,Mar 2022,17119.0,4953.0,23.13,422.0,41399.0,47935.0,11.0,11.84,1.146
ADANIPORTS,Mar 2023,20852.0,5391.0,24.58,432.0,44957.0,53434.0,10.0,11.88,1.177
ADANIPORTS,Mar 2024,26711.0,8104.0,37.55,432.0,52346.0,49470.0,13.0,15.35,0.937
ADANIPORTS,Mar 2025,30475.0,11061.0,51.35,432.0,61837.0,51621.0,15.0,17.76,0.829
ADANIPORTS,Mar 2026,38736.0,12782.0,55.58,461.0,95498.0,63566.0,14.0,13.32,0.662
ASIANPAINT,Mar 2015,13615.0,1427.0,14.54,96.0,4646.0,418.0,42.0,30.09,0.088
ASIANPAINT,Mar 2016,14271.0,1803.0,18.19,96.0,6429.0,323.0,42.0,27.63,0.05
ASIANPAINT,Mar 2017,15062.0,2016.0,20.22,96.0,7508.0,560.0,38.0,26.51,0.074
ASIANPAINT,Mar 2018,16825.0,2098.0,21.26,96.0,8314.0,533.0,36.0,24.95,0.063
ASIANPAINT,Mar 2019,19240.0,2208.0,22.48,96.0,9375.0,1320.0,33.0,23.31,0.139
ASIANPAINT,Mar 2020,20211.0,2774.0,28.2,96.0,10034.0,1118.0,33.0,27.38,0.11
ASIANPAINT,Mar 2021,21713.0,3207.0,32.73,96.0,12710.0,1093.0,34.0,25.04,0.085
ASIANPAINT,Mar 2022,29101.0,3085.0,31.59,96.0,13716.0,1587.0,29.0,22.34,0.115
ASIANPAINT,Mar 2023,34489.0,4195.0,42.81,96.0,15896.0,1933.0,34.0,26.23,0.121
ASIANPAINT,Mar 2024,35495.0,5558.0,56.92,96.0,18632.0,2474.0,38.0,29.68,0.132
ASIANPAINT,Mar 2025,33906.0,3710.0,38.23,96.0,19304.0,2290.0,26.0,19.12,0.118
ASIANPAINT,Mar 2026,35584.0,4395.0,45.09,96.0,21276.0,3929.0,26.0,20.56,0.184
AXISBANK,Mar 2015,,7450.0,31.42,474.0,44475.0,,,16.57,
AXISBANK,Mar 2016,,8358.0,35.04,477.0,53082.0,,,15.61,
AXISBANK,Mar 2017,,3967.0,16.51,479.0,55901.0,,,7.04,
AXISBANK,Mar 2018,,464.0,1.78,513.0,63694.0,,,0.72,
AXISBANK,Mar 2019,,5047.0,19.59,514.0,67288.0,,,7.44,
AXISBANK,Mar 2020,,1879.0,6.57,564.0,85776.0,,,2.18,
AXISBANK,Mar 2021,,7252.0,23.49,613.0,102981.0,,,7.0,
AXISBANK,Mar 2022,,14207.0,45.99,614.0,117647.0,,,12.01,
AXISBANK,Mar 2023,,10919.0,35.16,615.0,129166.0,,,8.41,
AXISBANK,Mar 2024,,26492.0,85.49,617.0,156406.0,,,16.87,
AXISBANK,Mar 2025,,28191.0,90.58,619.0,186616.0,,,15.06,
AXISBANK,Mar 2026,,26548.0,84.89,622.0,214414.0,,,12.35,
BAJAJ-AUTO,Mar 2015,21595.0,3026.0,104.56,289.0,10806.0,112.0,40.0,27.27,0.01
BAJAJ-AUTO,Mar 2016,22574.0,4061.0,140.35,289.0,13731.0,118.0,45.0,28.97,0.008
BAJAJ-AUTO,Mar 2017,21755.0,4079.0,140.98,289.0,17567.0,120.0,35.0,22.84,0.007
BAJAJ-AUTO,Mar 2018,25210.0,4219.0,145.8,289.0,20136.0,121.0,31.0,20.66,0.006
BAJAJ-AUTO,Mar 2019,30358.0,4928.0,170.29,289.0,22944.0,125.0,30.0,21.21,0.005
BAJAJ-AUTO,Mar 2020,29919.0,5212.0,180.11,289.0,21373.0,126.0,30.0,24.06,0.006
BAJAJ-AUTO,Mar 2021,27741.0,4857.0,167.85,289.0,26984.0,121.0,25.0,17.81,0.004
BAJAJ-AUTO,Mar 2022,33145.0,6166.0,213.08,289.0,29570.0,123.0,23.0,20.65,0.004
BAJAJ-AUTO,Mar 2023,36455.0,6060.0,214.17,283.0,29079.0,124.0,27.0,20.64,0.004
