Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,FINANCIAL SERVICES,360ONE,EQ,INE466L01038
ABB India Ltd.,CAPITAL GOODS,ABB,EQ,INE117A01022
APL Apollo Tubes Ltd.,CAPITAL GOODS,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Adani Energy Solutions Ltd.,POWER,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Ltd.,METALS & MINING,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,POWER,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,POWER,ADANIPOWER,EQ,INE814H01029
Adani Total Gas Ltd.,OIL GAS & CONSUMABLE FUELS,ATGL,EQ,INE399L01023
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013
Alkem Laboratories Ltd.,HEALTHCARE,ALKEM,EQ,INE540L01014
Ambuja Cements Ltd.,CONSTRUCTION MATERIALS,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,HEALTHCARE,APOLLOHOSP,EQ,INE437A01024
Ashok Leyland Ltd.,CAPITAL GOODS,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,CONSUMER DURABLES,ASIANPAINT,EQ,INE021A01026
Astral Ltd.,CAPITAL GOODS,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,HEALTHCARE,AUROPHARMA,EQ,INE406A01037
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,EQ,INE192R01011
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,AUTOMOBILE AND AUTO COMPONENTS,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01032
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Bharat Dynamics Ltd.,CAPITAL GOODS,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,CAPITAL GOODS,BEL,EQ,INE263A01024
