model,MAE,RMSE,R2,MedianAE,DirAcc,pred_mean,pred_std,actual_mean,actual_std,corr_pred_actual,split,beats_baseline_RMSE,RMSE_vs_baseline_%
historical_mean,0.09068709974473645,0.13270212121427657,-0.11994610053438404,0.0645859250252753,0.7259216447178302,0.028347505025275277,1.0408340855860843e-17,0.07177575918427101,0.12539473559711437,5.245722776069047e-17,validation,False,0.0
ridge,0.09415179425008023,0.13551443313713116,-0.16791839148614818,0.0684821580865316,0.6517153118936548,0.018854242889347405,0.021456910489787377,0.07177575918427101,0.12539473559711437,0.11535861915844449,validation,False,2.1192667435311785
random_forest,0.09305974901893929,0.13473006450016026,-0.15443750436847425,0.06740680064673837,0.6937621269041819,0.02520694968531003,0.02126008628748684,0.07177575918427101,0.12539473559711437,0.03606559009369203,validation,False,1.5281920645481728
hist_gradient_boosting,0.0926368855015969,0.1325056262805834,-0.11663189867899093,0.06848212637420234,0.6703133385625232,0.03753403257195029,0.03853676610306445,0.07177575918427101,0.12539473559711437,0.085226042230115,validation,True,-0.14807218746404338
xgboost,0.09224596880268404,0.13288525512162622,-0.12303936877237565,0.06722665388934135,0.6794575403542088,0.030177023261785507,0.026389243081212044,0.07177575918427101,0.12539473559711437,0.0743706289753098,validation,False,0.13800375282164712
lightgbm,0.09279910165874987,0.13263766187740247,-0.11885834927426542,0.06839947801659266,0.6759691202576064,0.03662104175840558,0.03662702910155496,0.07177575918427101,0.12539473559711437,0.07712921690407677,validation,True,-0.0485744585574599
historical_mean,0.08313405098178396,0.10781512448062795,-0.047747387073259207,0.067246397,0.5007772313605788,0.028347505025275284,3.469446951953614e-18,0.0053316983718452796,0.10532983295754925,-1.3107779670712993e-18,test,False,0.0
ridge,0.08193727316713406,0.107298863589064,-0.037737363780103284,0.06469718544186015,0.5019077497032389,0.016925135402948228,0.021596154407738946,0.0053316983718452796,0.10532983295754925,0.04003334562024627,test,True,-0.47883902564775926
random_forest,0.08112491443599702,0.10594482294825314,-0.011711503691662184,0.06510353869860465,0.5304392063761234,0.01912338948458005,0.039094790925497086,0.0053316983718452796,0.10532983295754925,0.1929019357485751,test,True,-1.7347302072733495
hist_gradient_boosting,0.08702243938628892,0.11200978153908003,-0.1308606945649733,0.07130233566477198,0.5381267311062122,0.03523741454333046,0.04504812321396277,0.0053316983718452796,0.10532983295754925,0.1550996134931798,test,False,3.8906016930915666
xgboost,0.08395244533969123,0.10902619650038084,-0.0714179847482923,0.06809491125890446,0.5395540105138206,0.030230890959501266,0.034839071333408356,0.0053316983718452796,0.10532983295754925,0.1418948422664351,test,False,1.1232858335849638
lightgbm,0.08531633982828363,0.1103839850357918,-0.0982705711859111,0.06976422202743152,0.5375897348934486,0.03082599944090419,0.044072714163306145,0.0053316983718452796,0.10532983295754925,0.16178991234091253,test,False,2.3826532386237
